trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
00e22de8-2dec-4d6b-8e20-74770aba4d23,20000511110,S_REG,Vila Militar,51,1,6mtl
926ea1b4-d70c-4565-ad55-b2e516193b87,luwv,U_REG,Vila Militar,52,1,ik1c
b1acb1fe-4761-4019-83a9-467d2a7a6fad,luwv,U_REG,Vila Militar,52,1,ik1c
8fd47c90-0762-4d59-be28-c2f921afcfb7,luwv,S_REG,Terminal Alvorada,52,0,39wo
e6a65c27-29bb-45e2-98c2-1a559573f5a7,luwv,D_REG,Terminal Alvorada,52,0,39wo
d64d81dd-1411-4e7d-9c60-8215c4c1e8f8,luwv,D_REG,Terminal Alvorada,52,0,39wo
6b6c51cf-fb23-4671-b4fc-de5d1e129fab,luwv,U_REG,Vila Militar,52,1,ik1c
f45573f0-2e00-4e40-9d61-f5b4aafef377,luwv,U_REG,Vila Militar,52,1,ik1c
faae51a0-44c6-4d57-ad96-68340a104306,luwv,S_REG,Vila Militar,52,1,ik1c
89a37abf-51ae-4ec9-aae8-b7fc1ea74618,luwv,S_REG,Vila Militar,52,1,ik1c
d158c986-d520-4193-b167-31d7e573f5b2,luwv,D_REG,Vila Militar,52,1,ik1c
87a1d0f1-34aa-41bb-8469-530a0d684d50,luwv,D_REG,Vila Militar,52,1,ik1c
6af9a80f-b86c-4505-b8a6-639487a06d47,luwv,U_REG,Terminal Alvorada,52,0,39wo
2a02b652-64d0-4723-914c-32dfb3cbfbcf,luwv,U_REG,Terminal Alvorada,52,0,39wo
d96ce7b1-79b7-48e1-8561-952276e0de88,luwv,U_REG,Terminal Alvorada,52,0,39wo
34840a92-0fd8-4191-b9bf-6c806f364c9c,luwv,U_REG,Terminal Alvorada,52,0,39wo
27a8a5b2-7046-495b-bdb3-1fc6a2bceaaf,luwv,U_REG,Terminal Alvorada,52,0,39wo
770ff65e-266a-4ca4-acf0-fa523a6b704b,luwv,U_REG,Terminal Alvorada,52,0,39wo
76956376-c2cd-4b15-b0e6-eff65fa48bc0,luwv,S_REG,Terminal Alvorada,52,0,39wo
6f68488a-4810-4b62-9a0e-1285818512e8,luwv,S_REG,Terminal Alvorada,52,0,39wo
ed513bbb-a252-4bb8-aec4-15058b8faae3,luwv,S_REG,Terminal Alvorada,52,0,39wo
93d95935-6657-4636-9f64-bd97b5861795,luwv,U_REG,Vila Militar,52,1,ik1c
69fd8da2-3327-401a-9670-16cb1c32136c,luwv,U_REG,Vila Militar,52,1,ik1c
553cd647-e4e3-4641-84e4-72dc39847fe6,luwv,S_REG,Vila Militar,52,1,ik1c
9ce64c19-8126-4eae-bf4e-38e4c866af5b,luwv,S_REG,Vila Militar,52,1,ik1c
57aa2522-9ab6-413a-9d9f-b16b518ad80b,20000351110,D_REG,Terminal Alvorada,35,0,6a84
97e937db-5885-4348-bcb5-edaa079c4aaf,20000351110,U_REG,Terminal Alvorada,35,0,6a84
e4eb33d9-ce2a-4f51-9e7e-4d9703057bb9,20000351110,S_REG,Terminal Alvorada,35,0,6a84
686acbea-dfca-46b8-8b53-5d7ef6fdb24e,20000351110,S_REG,Terminal Alvorada,35,0,6a84
60041900-c95c-40e8-9d73-428746525a10,20000351110,U_REG,Terminal Paulo da Portela,35,1,n6ku
608d707a-5b32-4524-9ce0-473db35962ee,20000351110,U_REG,Terminal Paulo da Portela,35,1,n6ku
3a839e20-7225-430e-b593-5b23a5ad83d6,20000351110,D_REG,Terminal Alvorada,35,0,6a84
91917e27-ffa3-4963-9823-e4e316f3788e,20000351110,D_REG,Terminal Alvorada,35,0,6a84
412c13b5-97df-44df-a7fc-8bd5918424ce,20000351110,D_REG,Terminal Alvorada,35,0,6a84
7941c66f-1aa1-4e31-b9c7-d998f13f6dca,20000351110,S_REG,Terminal Paulo da Portela,35,1,n6ku
6c34c969-984b-4a87-b88e-fef06185005d,20000351110,D_REG,Terminal Paulo da Portela,35,1,n6ku
825f9be7-ef93-452d-8d56-b3cd8039ba52,20000351110,D_REG,Terminal Paulo da Portela,35,1,n6ku
ed641ae8-07f0-4355-a039-b5ea65886f52,20000351110,D_REG,Terminal Paulo da Portela,35,1,n6ku
e48635a9-f5ad-496c-8a1e-a080069500d5,20000351110,D_REG,Terminal Paulo da Portela,35,1,n6ku
3838bb58-cebf-4721-9fc8-c8b4220a3694,20000351110,U_REG,Terminal Alvorada,35,0,6a84
49f2e34c-22c3-4ba0-b5e4-a3718e89339c,20000351110,D_REG,Terminal Paulo da Portela,35,1,n6ku
6ecde812-bd57-4d2e-82c3-ae94188881a9,20000351110,U_REG,Terminal Paulo da Portela,35,1,n6ku
0e976ceb-e97e-41cf-b268-0b387b280a38,20000351110,U_REG,Terminal Paulo da Portela,35,1,n6ku
60a272f5-ef71-49ec-8434-8883dcea63fc,20000351110,U_REG,Terminal Paulo da Portela,35,1,n6ku
5f3d3c84-b508-41f9-b9a7-52d8d9ce6627,20000351110,S_REG,Terminal Paulo da Portela,35,1,n6ku
2c14b632-e321-40ed-8808-745573f9803a,20000351110,S_REG,Terminal Alvorada,35,0,6a84
c36873b4-d13f-471b-b788-9428b185dbf5,20000351110,U_REG,Terminal Alvorada,35,0,6a84
a8d551d6-96ea-43af-88b5-55b4edde7311,20000351110,U_REG,Terminal Alvorada,35,0,6a84
ebf9fb5c-5720-49f2-8fb5-dc53f4278f53,20000351110,D_REG,Terminal Alvorada,35,0,6a84
09cc2a5f-eeee-41bc-9de7-bcf20edc9db8,20000351110,U_REG,Terminal Paulo da Portela,35,1,n6ku
3cc390c8-227c-4fe3-b667-17810afb9ed7,20000351110,U_REG,Terminal Paulo da Portela,35,1,n6ku
bcf04da5-74c4-4c84-972f-19f5618ecd10,20000351110,U_REG,Terminal Alvorada,35,0,6a84
6a171f90-9e09-4191-8e66-6f7b4a7c6456,20000351110,U_REG,Terminal Alvorada,35,0,6a84
e8ec540e-45d0-485f-ab85-cd9b8fd51af7,20000351110,U_REG,Terminal Alvorada,35,0,6a84
df71618b-8d77-4af2-a1a6-c855585708a5,20000351110,S_REG,Terminal Alvorada,35,0,6a84
21f638bc-3f6c-4d40-9a1f-2702063fa2b8,20000351110,S_REG,Terminal Alvorada,35,0,6a84
ea7c900e-8e87-4987-8d53-f2b67e9355df,20000351110,S_REG,Terminal Alvorada,35,0,6a84
d66a9eca-a58e-4099-9617-70116ec0dc27,20000351110,D_REG,Terminal Alvorada,35,0,6a84
46664eba-b66d-41ad-b785-14bad56d7236,20000351110,D_REG,Terminal Alvorada,35,0,6a84
c3af4f89-22eb-4247-94f8-e919e195a732,20000351110,U_REG,Terminal Paulo da Portela,35,1,n6ku
51bbc50d-e8d7-4fb6-8104-fb7f2255ab7b,20000351110,S_REG,Terminal Paulo da Portela,35,1,n6ku
c1c725a3-c940-4210-843a-6f1737571cd7,20000351110,S_REG,Terminal Paulo da Portela,35,1,n6ku
aa029941-3eaf-4166-987e-0c611d8c4f26,20000351110,D_REG,Terminal Paulo da Portela,35,1,n6ku
eb6d5eb3-a04d-44fa-be2a-12321d351c66,20000351110,D_REG,Terminal Paulo da Portela,35,1,n6ku
c12ccbfe-604c-4f1d-9b29-8336e2e845c9,20000351110,U_REG,Terminal Paulo da Portela,35,1,n6ku
3e950818-1f07-4430-b800-65e07e0b02a8,20000351110,S_REG,Terminal Paulo da Portela,35,1,n6ku
703e0dc1-cf25-4a7e-9904-e83748a45a07,20000351110,S_REG,Terminal Paulo da Portela,35,1,n6ku
efb1ff48-d565-4a9b-8605-df3309b01f64,20000351110,U_REG,Terminal Alvorada,35,0,6a84
fb3bc215-3399-42a6-a6a7-976633e34085,20000381110,U_REG,Terminal Alvorada,38,0,pu0n
adbd1a13-3005-4b1a-87b8-ae7fb253e0c5,20000381110,U_REG,Galeão - Tom Jobim,38,1,y86x
47079482-ab86-479e-8378-1d526278007a,20000381110,S_REG,Galeão - Tom Jobim,38,1,y86x
da4c7b8f-e168-4af2-889a-619fbc3a10a1,20000381110,S_REG,Terminal Alvorada,38,0,pu0n
b82fca9a-6f7d-4c0a-9b09-3383888ca29b,20000381110,D_REG,Terminal Alvorada,38,0,pu0n
073b2054-ecae-4270-ade7-10db1d441e00,20000381110,D_REG,Galeão - Tom Jobim,38,1,y86x
43f728fb-c8d6-41ec-86d5-c3fe80cb0f64,20000431130,U_REG,Santa Efigênia,43,0,8jzx
cc96acf3-5c08-4b30-925a-7bd19ad1f992,20000431130,U_REG,Santa Efigênia,43,0,8jzx
1bb095bd-8ccc-4ceb-bb0d-fe70b21e5c4f,20000431130,U_REG,Terminal Fundão,43,1,cbdp
f6667a28-06f0-4827-85d3-68ef7c5f937d,20000431130,U_REG,Terminal Fundão,43,1,cbdp
e9d9bcc7-18a9-43f5-8876-1d5be477eb81,20000101130,S_REG,Santa Cruz,10,1,v2bf
64f85e73-dd58-427e-939d-c4465e79420f,20000101130,S_REG,Terminal Alvorada,10,0,e4px
56fa107c-10b8-4e89-bcf9-40d0e7e97c29,20000101130,S_REG,Terminal Alvorada,10,0,e4px
7fce611c-af7f-4ebd-aaf8-f1335009779d,20000101130,U_REG,Terminal Alvorada,10,0,e4px
6630ad5f-7ad5-47dd-be0b-3edfe78e240c,20000101130,D_REG,Terminal Alvorada,10,0,e4px
6320f5e2-2cdc-47bd-9f31-fa68436b54d8,20000101130,D_REG,Terminal Alvorada,10,0,e4px
de5f0053-1abc-40fc-ad91-63e635bdbf6c,20000101130,S_REG,Terminal Alvorada,10,0,e4px
b26fb119-c78c-49d4-94f9-89a757781186,20000101130,D_REG,Santa Cruz,10,1,v2bf
54aa386d-d156-46c6-8930-9a1386aa72c2,20000101130,S_REG,Terminal Alvorada,10,0,e4px
38a33914-3727-4d5b-84a7-9a266a89dce2,20000101130,D_REG,Santa Cruz,10,1,v2bf
2e2da79b-efc8-415e-8cf6-d8156f61277e,20000101130,D_REG,Santa Cruz,10,1,v2bf
ef53322a-0989-46ed-be31-069a9900e286,20000101130,D_REG,Santa Cruz,10,1,v2bf
efe63140-340b-4e15-b78b-c302c66d059e,20000101130,U_REG,Santa Cruz,10,1,v2bf
3f34e749-fa60-4952-b28e-729299fec7b3,20000101130,D_REG,Santa Cruz,10,1,v2bf
b7357cd7-bb43-4498-8253-34ca2509433a,20000101130,U_REG,Santa Cruz,10,1,v2bf
d073e880-6f8c-42e6-b8eb-8ab6a5db2cca,20000101130,S_REG,Santa Cruz,10,1,v2bf
33ec0712-1423-4456-8529-71a125763782,20000101130,S_REG,Santa Cruz,10,1,v2bf
97f07a24-ae88-480d-b3f1-8de4ed1290c2,20000101130,S_REG,Santa Cruz,10,1,v2bf
0d2ab6de-e83e-4cff-a0da-704facc3c713,20000101130,S_REG,Santa Cruz,10,1,v2bf
7f539148-aaf4-4a47-9dec-d9d597933182,20000101130,S_REG,Terminal Alvorada,10,0,e4px
e8d99aa5-d4eb-4dc2-bc6b-685ae91c4975,20000101130,S_REG,Santa Cruz,10,1,v2bf
7fd11d64-2aca-4495-bf74-18ef2dd34667,20000101130,D_REG,Terminal Alvorada,10,0,e4px
fa8aeaae-77eb-4350-8c03-66a4fa77b951,20000101130,S_REG,Terminal Alvorada,10,0,e4px
6e2a2b22-0ea1-46c1-8217-70e1e6e171dc,20000101130,U_REG,Terminal Alvorada,10,0,e4px
b90a3246-4179-4f9e-9c6e-9d24e1420009,20000101130,U_REG,Terminal Alvorada,10,0,e4px
ffb8dca3-90f6-4afe-97e6-7187cbfe7e04,20000101130,D_REG,Terminal Alvorada,10,0,e4px
82394691-f0e9-4671-bd3d-b63cb95534b4,20000101130,D_REG,Terminal Alvorada,10,0,e4px
569dbeaf-dd3d-40bd-9777-0503c3bb1ba9,20000101130,D_REG,Terminal Alvorada,10,0,e4px
7e4d834e-19ff-4a94-a82f-e6b8b0201461,20000101130,D_REG,Terminal Alvorada,10,0,e4px
1d641816-4a6a-4272-859f-8b5a561ac84c,20000101130,U_REG,Santa Cruz,10,1,v2bf
3c36de60-ca56-4e91-9329-862b488dcd43,20000101130,S_REG,Santa Cruz,10,1,v2bf
2a6aaa99-7b8c-463a-9b64-92057d06a79d,20000101130,D_REG,Santa Cruz,10,1,v2bf
34f0a50a-6204-41b9-a268-1dd4e5f44395,20000101130,S_REG,Terminal Alvorada,10,0,e4px
e57f578e-4b02-4adf-8f4c-97be783cbcd9,20000101130,D_REG,Santa Cruz,10,1,v2bf
69e6eab3-9cd3-4d16-a1cf-083b6c54afcb,20000111110,U_REG,Terminal Alvorada,11,0,eeg0
deac0d92-8a83-4e11-aa64-43cb09c5397d,20000111110,S_REG,Terminal Alvorada,11,0,eeg0
78bd8706-8655-42b0-8058-b8a8ce23a0b5,20000111110,D_REG,Terminal Alvorada,11,0,eeg0
33a3a510-be83-435d-a342-b33ae8823362,20000111110,U_REG,Santa Cruz,11,1,4s1f
